id	title	text	score
2807410	专访东旭集团国家科技进步奖一等奖项目：四大创新支撑 实现玻璃基板核心技术重大突破	<p>1月8日，国家科学技术奖励大会在京召开，对获得2018年度国家科学技术奖的项目和人员进行表彰，包括中国中冶（601618）、东旭光电（000413）、潍柴动力（000338）等在内的多家A股公司(及母公司、旗下子公司)参与的项目获得国家自然科学奖、国家技术发明奖、国家科学技术进步奖等奖项。其中，“光电显示用高均匀超净面玻璃基板关键技术与设备开发及产业化”项目获国家科技进步奖一等奖，这也是由河北省主持研发的通用项目首获该奖项。</p><p>那么此项目为何能摘得国家科技进步奖一等奖的桂冠呢？东旭集团(东旭光电控股股东)相关人士对证券时报记者表示，该项目属于新一代信息技术的平板显示领域，涉及光电显示用玻璃基板关键技术、核心设备开发及产业化应用。整体来看，该项目围绕三大难题，实施四大创新，历经10余年攻关，实现了高品质玻璃基板核心技术与关键设备的重大突破。</p><p><strong>广电显示产业“迭代”</strong></p><p>产业界人士介绍说，目前，全球已经进入电子信息化时代，平板显示不仅是电子信息产业的“粮食产业”，其发展水平更是一个国家的科技实力和国际竞争力的重要体现，属于国家战略性基础产业。玻璃基板是平板显示产业的上游关键材料之一，作为TFT-LCD、OLED等光电显示面板的载体，约占面板总成本的20%，是电视机、平板电脑、手机等信息终端的关键部件，技术门槛高、制造难度大、投资风险大。其重要地位被称为光电显示行业的“基石”，是显示面板最“卡脖子”的部件，被国家列为战略性紧缺物资。</p><p>东旭集团方面表示，本世纪初，我国是CRT产业制造大国。当时，东旭团队紧紧瞄准显示器制造装备及配件进行本土化研究，从小零件开始，逐步拓展到整条生产线的设计、制造及技术服务，迅速打开市场，成为国内最大的CRT装备制造商，先后为安彩集团、彩虹集团、宝石集团等大型CRT公司提供成套生产线、备件配件及技术服务。东旭团队在CRT国产化方面取得的巨大突破，为实现彩色玻壳由进口大国迅速转变为出口大国、由制造大国转变为制造强国做出贡献。</p><p>不过，2003年，美日韩等在显示器领域处于前列的国家便逐渐从传统CRT彩电转向平板电视的研发。东旭团队当时预测到，平板显示产业即将淘汰CRT产业。2005年前后，CRT穷途末路，平板显示势头良好。然而，外企掌握了平板显示玻璃基板领域的“话语权”，掐住了中国彩电行业的“命脉”。长期一来，玻璃基板技术和市场被美国康宁、日本旭硝子、电气硝子、板硝子等外企高度封锁和垄断，我国全部依赖进口，严重制约了我国显示产业的健康安全发展。</p><p>在技术被国外严密封锁的情况下，中国自主研发玻璃基板陷入艰难境地，玻璃基板对尺寸、外观、性能要求十分严格，几乎是零缺陷的标准，因此，对原材料的选用、设备的精度、操作的精细化、工艺的控制、环境的要求等非常苛刻。</p><p>东旭团队便在此背景下，在2005年率先在国内组建玻璃基板研发团队，该项目被科技部列入“十二五”国家科技支撑计划。</p><p><strong>实施四大创新</strong></p><p>“制造高品质的玻璃基板，主要面对高均匀性、超洁净表面、强理化性能三座大山。”东旭方面负责人介绍说，“该项目围绕三大难题，实施了四大创新，历经10余年攻关，实现了高品质玻璃基板核心技术与关键设备的重大突破。”</p><p>首先，玻璃基板的微缺陷，如气泡、条纹、内部夹杂等，如不严格控制，将导致显示面板产生疵点或失真。对此，项目团队发明了由澄清、冷却、搅拌、均化、供料五大功能仓组成的“五仓型”铂金通道，并且开发了智能集成控制系统，在国内率先攻克了玻璃液优质处理技术。</p><p>第二，玻璃基板超洁净加工是平板显示行业最大的难题，微米级的颗粒将可能导致显示面板产生黑线、亮线或坏点。对此，项目团队开发了双光束散射表面颗粒检查技术、“水吸法”研磨技术，发明了玻璃基板自动加工生产线，解决了玻璃碎屑、颗粒污染难题，实现了超净面品质，达到了国际先进水平。该自动加工生产线被科技部认定为国家战略性创新产品。</p><p>第三，显示面板制程对玻璃基板提出了热性能、电性能和耐化性等严苛的理化性能要求。满足这些性能要求，优选无碱铝硅酸盐系统是国内外业内的共识，而国外专利提前布局，形成技术壁垒，压缩了玻璃基板组成的研发空间，给该项目造成极大的困难。对此，项目团队通过理论分析与大量试验，协调玻璃化学组成、结构和性能关系，发明了一种新型玻璃基板化学组成，获得了理化性能优异的玻璃基板配方，满足了显示面板制程对玻璃基板性能要求。</p><p>第四、玻璃基板属于无碱铝硅酸盐玻璃，是目前最难熔的玻璃产品之一，玻璃熔制质量不佳将造成成分不均匀、内部结石缺陷，影响产品的均匀性。对此，项目团队开发了沿中心线对称布置“半圆形表面”电极的窑炉及全氧燃烧电助熔控制系统，实现了高质量熔化。</p><p>由此，上述创新成果转化成玻璃基板成套技术和设备，实现了产业化应用，建成了我国首个玻璃基板数字化车间，实现了产品品质的数据化、可视化和智能化管控。与国外同类产品相比，该项目产品在应变点温度、热收缩率、耐碱性能等方面均优于国际知名公司。“该项目首先在郑州旭飞公司应用，建成我国首条具有完全自主知识产权的玻璃基板生产线，随后在芜湖光电、石家庄旭新等公司推广，已建成17条生产线，实现了我国玻璃基板产业化与规模化发展。该项目玻璃基板产品被京东方、上海仪电、台湾群创等全球主流面板企业广泛采购，应用于知名手机品牌，例如华为、苹果、小米、OPPO、VIVO、联想等，以及车载产品、笔记本电脑、电视机等各类显示终端。国内市场占有率第一，并销售台湾地区，与国外产品无差别同线使用，彻底结束了我国玻璃基板完全依赖进口的历史。”东旭集团方面表示。</p><p>据悉，近年来，该项目完成单位新增销售额133亿元，其他应用单位新增销售额超200亿元，国产化撬动进口玻璃大幅降价，为下游企业节约成本超2000亿元。</p><p>东旭集团方面指出，“整体来看，该项目实现了我国玻璃基板产业从无到有、从弱到强，成为全球第三个掌握玻璃基板制造核心技术的国家，玻璃基板供应由美、日两家变成三足鼎立的格局，引领我国CRT玻壳向液晶玻璃基板产业技术进步和转型升级，推动了我国光电显示产业健康安全发展。”</p>	1
2974088	大牛股是这么走出来的！03月01日 8只创新高个股统计名单	<p>自年初以来周期股和成长蓝筹股轮番领涨，部分个股已提前进入了牛市，今日又有8只个股创出了近年来新高。</p><p>本文由每经APP独立研发的AI机器人(300024,诊股)每经小强耗时：0.43秒写成。</p><p>03月01日创新高个股统计代码证券简称收盘价000338潍柴动力10.03600131岷江水电16.19300637扬帆新材33.05002032苏泊尔64.56300651金陵体育50.68002557洽洽食品22.5600872中炬高新33.67300662科锐国际33.78</p>	1
3453025	亚星客车(600213.SH)拟向控股股东借款6000万元	<p>格隆汇8月2日丨亚星客车(600213.SH)公布，公司拟向控股股东潍柴(扬州)亚星汽车有限公司(以下简称潍柴扬州公司)借款6000万元。潍柴扬州公司通过山东重工集团财务有限公司以委托贷款方式向公司提供借款6000万元，期限12个月(自提款之日起计算)；利率为银行同期基准利率，按月结息；本次委托贷款手续费为贷款金额的万分之五，由潍柴扬州公司承担。本次委托贷款以公司有效资产办理质押或抵押。</p><p>本次借款有利于补充公司流动资金，降低公司融资成本。</p>	1
2875184	智通AH统计-1月28日	<p>必读</p><p>智通AH统计-1月28日</p><p>2019年1月28日 16:20:04</p><p>智通财经APP数据显示，截止1月28日收盘，洛阳玻璃股份(01108)、浙江世宝(01057)、京城机电股份(00187)分列AH溢价率前三位，溢价率分别为500.00%、355.75%、299.32%；海螺水泥(00914)、中国平安(02318)、潍柴动力(02338)分列AH溢价率末三位，溢价率分别为-9.22%、-2.95%、-2.35%。</p><p>其中新华文轩(00811)、招商证券(06099)、拉夏贝尔(06116)的偏离值位居前三，分别为34.03%、7.60%、6.62%；另外，绿色动力环保(01330)、天津创业环保股份(01065)、中国外运(00598)的偏离值位居后三，分别为-73.92%、-22.75%、-21.68%。具体情况如下：</p><p>前十大AH股溢价率排行</p><p>股票名称H股(港元)A股溢价率↓偏离值洛阳玻璃股份(01108)2.15011.08500.00%-16.93%浙江世宝(01057)1.1304.42355.75%-20.53%京城机电股份(00187)1.4805.08299.32%-3.20%绿色动力环保(01330)3.77012.15275.07%-73.92%山东墨龙(00568)1.3404.26270.15%-17.78%东北电气(00042)0.6802.05251.47%3.53%中石化油服(01033)0.6701.86223.88%-7.06%中远海发(02866)0.8902.37210.11%-11.39%南京熊猫电子股份(00553)2.8307.33201.41%-12.28%中州证券(01375)1.7704.58201.13%-3.11%</p><p>后十大AH股溢价率排行</p><p>股票名称H股(港元)A股溢价率↑偏离值海螺水泥(00914)40.90031.90-9.22%1.27%中国平安(02318)73.80061.52-2.95%1.82%潍柴动力(02338)10.2008.56-2.35%-2.82%福耀玻璃(03606)26.80023.050.11%-2.42%中国石油化工股份(00386)6.4105.550.78%-2.24%招商银行(03968)32.90028.661.40%0.73%江苏宁沪高速公路(00177)11.1809.802.06%0.74%万科企业(02202)29.55026.062.67%-1.89%交通银行(03328)6.5206.017.36%-1.58%工商银行(01398)5.9505.507.56%-0.67%</p><p>前十大AH股偏离值排行</p><p>股票名称H股(港元)A股溢价率偏离值↓新华文轩(00811)5.45012.17160.00%34.03%招商证券(06099)10.60014.4758.87%7.60%拉夏贝尔(06116)6.1108.4661.21%6.62%光大证券(06178)6.9909.5058.23%5.60%大连港(02880)1.0201.93120.59%5.36%青岛啤酒股份(00168)33.95036.9626.75%4.89%山东黄金(01787)19.78030.7781.09%4.71%东北电气(00042)0.6802.05251.47%3.53%晨鸣纸业(01812)4.5205.9051.99%3.10%长飞光纤光缆(06869)21.95039.77110.93%2.42%</p><p>后十大AH股偏离值排行</p><p>股票名称H股(港元)A股溢价率偏离值↑绿色动力环保(01330)3.77012.15275.07%-73.92%天津创业环保股份(01065)3.1107.95197.43%-22.75%中国外运(00598)3.6704.5544.41%-21.68%浙江世宝(01057)1.1304.42355.75%-20.53%山东墨龙(00568)1.3404.26270.15%-17.78%中国中冶(01618)2.1002.9865.24%-17.74%中船防务(00317)5.6509.6097.88%-17.17%洛阳玻璃股份(01108)2.15011.08500.00%-16.93%大唐发电(00991)2.0303.0977.34%-14.20%中国交通建设(01800)7.81010.7159.67%-12.46%</p><p>备注：以上数据由智通机器人根据港交所数据，经过人工智能运算后自动生成，并不保证数据100%准确；偏离值为当前溢价率与该股过去30天平均溢价率的差值。</p>	1
3143795	智通港股投资日志-4月26日	<h3>智通财经APP统计，2019年4月26日，港股上市公司投资日志如下：</h3> <table> <tbody> <tr> <th>类别</th> <th>公司</th> </tr> <tr><td><div>新股活动</div></td><td><div><ul><li>JBB BUILDERS<div>(招股中)</div></li><li>维亚生物<div>(招股中)</div></li><li>中国光大水务<div>(招股中)</div></li><li>兑吧<div>(招股中)</div></li><li>博尼控股<div>(上市日)</div></li><li>申万宏源<div>(上市日)</div></li></ul></div></td></tr> <tr><td><div>业绩公布日</div></td><td><div><ul><li>红星美凯龙</li><li>潍柴动力</li><li>枫叶教育</li><li>国泰君安</li><li>青岛银行</li><li>安徽皖通高速公路</li><li>山东黄金</li><li>翼辰实业</li><li>深圳高速公路股份</li><li>海螺水泥</li></ul></div></td></tr> <tr><td><div>股东大会召开日</div></td><td><div><ul><li>新威斯顿</li><li>东亚银行</li><li>CMON</li><li>骏杰集团控股</li><li>合宝丰年</li><li>普拉达</li><li>依利安达</li><li>复旦张江</li><li>复旦张江</li><li>汇银控股集团</li></ul></div></td></tr> <tr><td><div>分红派息</div></td><td><div><ul><li>达力集团<div>（派息日）</div></li><li>会德丰<div>（派息日）</div></li><li>银河娱乐<div>（派息日）</div></li><li>昊海生物科技<div>（派息日）</div></li></ul></div></td></tr> </tbody> </table> <p>备注：更多投资日志，请登陆智通财经网或下载智通财经APP，进入【备忘频道】查询</p>	1
3297729	国内首份氢能产业白皮书勾勒产业发展路线图 预计2050年年产值可超过10万亿元	<p>中证网讯（记者 康书伟）由中国氢能联盟编制的《中国氢能源及燃料电池产业白皮书》6月26日下午在潍柴动力发布。白皮书预测，到2050年，氢能在中国终端能源体系中的占比达到10%，氢气需求量接近6000万吨，年经济产值超过10万亿元 ，全国加氢站达到1万座以上，燃料电池车产量达到520万辆，燃料电池系统产能5500万台套/年。</p><p>该白皮书是在国家能源局指导下,由国家能源集团、同济大学、钢研集团、潍柴动力等30多家国内氢能及燃料电池产业大型骨干企业和科研机构历时8个月联合编制完成，客观分析了我国发展氢能产业的条件和优势，提出氢能及燃料电池产业、技术、政策三大路线图。</p><p>白皮书指出，中国已是世界上最大的制氢国，初步评估现有工业制氢产能为2500万吨/年，可为氢能及燃料电池产业化发展初期阶段提供低成本的氢源供给。同时，中国氢能应用市场潜力巨大，在能源、交通、工业、建筑等领域具有广泛的应用场景，尤其以燃料电池为代表的交通领域是氢能初期应用的突破口与主要市场。此外，中国氢能与燃料电池技术基本具备产业化基础，掌握了部分氢能基础设施与一批燃料电池相关核心技术，具备了一定的产业装备及燃料电池整车的生产能力；燃料电池车已形成自主特色的电-电混合技术路线，并经历规模示范运行。</p><p>白皮书同时指出，与发达国家相比，我国在氢能自主技术研发、装备制造、基础设施建设等方面仍有一定差距，但产业化台式全球领先。</p><p>对于燃料电池技术，白皮书指出，我国已初步掌握了燃料电池电堆与关键材料、动力系统与核心部件、整车集成等核心技术；部分关键技术实验室水平接近国际先进水平，但工程化、产业化水平滞后，总体技术水平落后于日本、韩国等国家。</p><p>白皮书还描绘了氢能及燃料电池产业发展路线图。在技术路线上，白皮书预计远期将以可再生能源发电制氢为主，2050年平均制氢成本将不高于10元/公斤；氢能储运将按照“低压到高压”“气态到多相态”的技术发展方向，预计到2050年氢储能密度达到6.5wt%。</p><p>政策体系上，白皮书提出要加快建立系统全面的标准、计量、检测、认证，以及产品售后服务保障标准体系，组织有实力的企业和科研院所重点对大规模高效制氢、分布式制氢、氢气纯化技术、氢气储运的关键材料及技术设备、质子交换膜燃料电池和固体氧化物燃料电池等先进燃料电池技术、分布式发电技术等关键领域进行联合攻关。</p>	1
3298586	中国氢能联盟：2030年左右，电解水制氢将成有效供氢主体	<p>原标题：中国氢能联盟：2030年左右，电解水制氢将成有效供氢主体 来源：界面_综合</p><p>澎湃消息，26日，中国氢能联盟在山东潍坊发布了《中国氢能源及燃料电池产业白皮书》，该白皮书由国家能源集团、同济大学、钢研集团、潍柴动力等30多家国内氢能及燃料电池产业大型骨干企业和科研机构历时8个月联合编制完成。该白皮书预计，氢能市场发展中期（2030年左右），氢气年均需求约3500万吨，煤制氢配合CCS技术，可再生能源电解水制氢将成为有效供氢主体，积极推动生物制氢和太阳能光催化分解水制氢等技术示范，氢气实现长距离大规模输运。</p>	1
3455235	智通港股公告精选︱(8.2)华人置业扭亏为盈 中期股东应占溢利8.45亿港元	<p><strong>【重大事项】</strong></p><p>复星医药(02196)抗肿瘤药注射用HLX55单抗获药监局临床试验注册审评受理</p><p>庆铃汽车股份(01122)与主要股东五十铃订立700P3X技术开发协议 涉资5.8亿日圆</p><p>潍柴动力(02338)控股子公司潍柴香港国际拟开展衍生品交易业务</p><p>雷士照明(02222)与广东德豪润达照明电气订立商标许可协议</p><p>粤丰环保(01381)获授黔东南州南部片区垃圾焚烧发电厂的特许经营权</p><p>和谐汽车(03836)携手苏宁汽车将“和谐修车”打造成豪华智能服务平台</p><p><strong>【财报数据】</strong></p><p>华人置业((00127)扭亏为盈 中期股东应占溢利8.45亿港元</p><p>昊海生物科技(06826)中期母公司拥有人应占利润同比降13.65%至1.83亿元</p><p>海港企业(00051)上半年股东应占利润同比下滑25%至2.68亿港元</p><p>泓富产业信托(00808)中期可分派收入同比增长约2.57%至1.4亿港元</p><p>兴证国际(06058)中期除税后溢利1.3亿港元 同比增长132%</p><p>瑞金矿业(00246)2016年中期股东应占亏损同比扩大23.3倍至6.98亿元</p><p>瑞金矿业(00246)2016年度业绩由盈转亏至7.16亿元</p><p>瑞金矿业(00246)2017年中期股东应占亏损同比收窄93%至4818.3万元</p><p>瑞金矿业(00246)2018年中期股东应占亏损收窄34.4%至3161万元</p><p>瑞金矿业(00246)2018年度股东应占亏损同比收窄53.4%至4821.5万元</p><p>太古地产(01972)二季度香港整体办公楼租用率达99%</p><p>碧桂园(02007)7月归属公司股东权益的合同销售额同比增加16.03%至425.7亿元</p><p>万科(02202)7月合同销售额同比增6.75%至481.9亿元</p><p>中国奥园(03883)前7个月合同销售额同比增长30%至602.8亿元</p><p>新城发展控股(01030)7月合约销售额同比增33.7%至245.33亿元</p><p>花样年控股(01777)7月物业销售额同比增长138.9%至36.7亿元</p><p>景瑞控股(01862)前7月签约销售额同比增6.2%至114.81亿元</p><p>阳光100中国(02608)前7月合同销售额同比减少13.3%至44.88亿元</p><p>河北建设(01727)4至6月累计新签合同总额为247.1亿元</p><p>中国再保险(01508)预期中期归母净利同比增35%-45%</p><p>春立医疗(01858)预期中期利润同比激增逾70%</p><p>新城悦服务(01755)预期上半年归属公司权益持有人的合并净利同比增长至少100%</p><p>慧聪集团(02280)预期上半年收入大增逾70%至65亿元</p><p>当代置业(01107)预期中期综合净溢利同比增30%-50%</p><p>超威动力(00951)预期中期股东应占利润不少于2.50亿元</p><p>周黑鸭(01458)预期中期公司股东应占溢利同比下跌35%</p><p>新特能源(01799)预期中期股东应占利润同比跌65%-75%</p><p><strong>【要约收购】</strong></p><p>皇朝家私(01198)：联合要约人及一致行动人持股53.72% 将提要约收购</p><p><strong>【回购注销】</strong></p><p>渣打集团(02888)8月1日斥948.13万英镑回购135万股</p><p>华南城(01668)8月2日斥393.19万港元回购378万股</p><p>IMAX CHINA(01970)8月2日斥资522.88万港元回购28.31万股</p><p>宏安集团(01222)8月2日耗资431万港元回购4000万股</p><p><strong>【增发配售】</strong></p><p>李宁(02331)因可换股证券获转换 折让83.69%发行1.03万股</p><p>合景泰富集团(01813)溢价18.14%发行72.37万股代息股份</p><p>华人策略控股(08089)拟折让11.89%配售最多4680万股 净筹880万港元</p><p>熊猫绿能(00686)拟配发股份以引入北京能源作担保</p><p>阿里健康(00241)根据股份奖励计划授出910.78万股受限制股份单位</p><p><strong>【购股权】</strong></p><p>IMAX CHINA(01970)向执董Jim Athanasopoulos授出约16.09万份受限制股份单位及21.09万份购股权</p><p><strong>【股息红利】</strong></p><p>中华汽车(00026)将于9月24日派发特别股息每股18港元</p><p>赣锋锂业(01772)将派发末期股息每10股3元</p><p><strong>【资产并购】</strong></p><p>易鑫集团(02858)拟4.75亿元投资大连融鑫揽32.2%股权</p><p>中远海发(02866)控股股东向胜狮货柜收购的资产完成交割</p><p><strong>【资产出售】</strong></p><p>卓尔智联(02098)拟1.98亿元出售汉口北担保全部股权以聚焦核心业务</p><p><strong>【债券票据】</strong></p><p>建业地产(00832)拟发行3亿美元优先票据</p><p>晨鸣纸业(01812)附属拟发行1.63亿美元票据</p><p>碧桂园(02007)完成发行22.1亿元公司债券</p><p>中国铁建(01186):铁建宇鹏完成赎回8亿美元永续证券</p><p><strong>【担保贷款】</strong></p><p>联想控股(03396)为联营公司Well Faith提供1.3亿美元担保</p><p>潍柴动力(02338)为潍柴香港国际的融资和利率掉期事项提供连带保证责任担保</p><p><strong>【公司更名】</strong></p><p>利时集团控股(00526)拟更名为“中国汽车新零售” 8月7日生效</p><p><strong>【人事变动】</strong></p><p>曾晨接替张极井获任大昌行集团(01828)董事会主席及非执行董事等职务</p><p>利时集团控股(00526)执董同世平获任为行政总裁</p><p>李洁雯调任荣阳实业(02078)行政总裁</p><p>郭文峰接替刘泓获任锦州银行(00416)行长</p><p>如需了解更多详情，请参阅智通财经网(www.zhitongcaijing.com)</p>	1
3332080	青岛海关公开销毁假冒“丰田”“潍柴”等侵权机动车零配件22万件	<p>原标题：青岛海关公开销毁假冒“丰田”“潍柴”等侵权机动车零配件22万件</p><p>新华社济南7月4日电（记者魏圣曜）青岛海关隶属黄岛海关4日公开无害化销毁22万件侵权机动车零配件，涉及侵犯丰田、潍柴等多个国内外品牌商标专用权。这是近年来青岛海关针对侵权机动车零配件类货物实施的最大规模集中销毁行动。</p><p>据青岛海关介绍，此次集中销毁的机动车零配件为2016年以来黄岛海关查扣的多批涉案侵权货物，共约22万件、30余吨，包括机动车用柴油机、水泵、空气滤清器、曲轴等40余种产品。</p><p>据介绍，2016年3月，黄岛海关关员对一批出口货物进行查验时，现场查获8.84万件空气滤清器滤芯，涉嫌侵犯日本丰田汽车公司“TOYOTA”商标专用权，经权利人确认均为假冒产品。2017年10月，黄岛海关现场查获山东省某公司申报出口的柴油机配件涉嫌侵犯我国潍柴集团“WEICHAI”商标专用权，共计1310件。这两批侵权货物也在4日公开集中销毁。</p><p>青岛海关表示，假冒机动车零配件存在极大安全隐患，一旦流入市场将严重危及驾乘人员人身财产安全，海关部门一直将进出境环节的机动车零配件侵权行为列为打击重点。本次销毁全程采取无害化操作，在海关监管下，机动车零配件先被碾压破碎，之后再投入熔炉销毁，做到全程安全可控、无害化销毁。</p>	1
2806408	多家上市公司参与的项目获得国家科学技术进步奖	<p>科技部公布2018年度国家科学技术进步奖获奖项目目录，多家上市公司参与的项目获奖：北斗星通(002151,诊股)参与的中国高精度位置网及其在交通领域的重大应用项目，潍柴动力(000338,诊股)参与的重型商用车动力总成关键技术及应用项目，均获一等奖。长飞光纤(601869,诊股)参与的长飞光纤光缆技术创新工程项目，科力远(600478,诊股)参与的高安全性、宽温域、长寿命二次电池及关键材料的研发和产业化项目，均获二等奖。</p>	2
